merchant_id,industry,signup_date,avg_ticket_size,weekly_txn_rate,decline_rate
MCH100132,E-commerce Retail,2024-09-21,21.5,1.48,0.025
MCH100133,Subscription / SaaS,2026-04-11,28.06,0.36,0.0818
MCH100134,Utilities & Billing,2025-08-24,15.76,5.32,0.0794
MCH100135,Subscription / SaaS,2024-09-11,53.85,1.25,0.024
MCH100136,Food & Beverage,2025-02-22,49.96,4.2,0.0161
MCH100137,Professional Services,2024-08-15,51.69,22.25,0.0424
MCH100138,Subscription / SaaS,2026-03-10,34.39,0.52,0.1565
MCH100139,Utilities & Billing,2025-03-19,30.64,1.11,0.1176
MCH100140,Utilities & Billing,2024-12-23,154.78,2.02,0.017
MCH100141,Subscription / SaaS,2024-12-13,39.15,8.95,0.1008
MCH100142,Food & Beverage,2026-04-18,129.51,86.11,0.0113
MCH100143,Subscription / SaaS,2025-07-05,13.51,3.15,0.0642
MCH100144,Subscription / SaaS,2024-08-23,65.97,0.48,0.1535
MCH100145,E-commerce Retail,2026-05-21,17.55,1.74,0.0504
MCH100146,Travel & Hospitality,2025-08-23,20.99,1.13,0.0463
MCH100147,Food & Beverage,2025-11-19,24.24,5.06,0.0587
MCH100148,E-commerce Retail,2025-06-06,22.77,3.59,0.0291
MCH100149,Subscription / SaaS,2024-11-04,22.88,0.87,0.1254
MCH100150,Marketplace,2025-08-13,123.63,1.07,0.1886
MCH100151,E-commerce Retail,2025-07-02,38.3,1.72,0.1231
MCH100152,E-commerce Retail,2025-03-28,45.84,1.94,0.1496
MCH100153,Food & Beverage,2026-04-05,23.17,2.36,0.0674
MCH100154,Utilities & Billing,2026-02-25,86.22,2.58,0.0787
MCH100155,Subscription / SaaS,2025-07-14,52.2,8.46,0.0775
MCH100156,Professional Services,2024-09-11,26.87,1.65,0.0448
MCH100157,Digital Goods,2025-03-05,7.51,1.43,0.131
MCH100158,E-commerce Retail,2024-08-12,45.44,0.64,0.0932
MCH100159,Professional Services,2025-07-12,65.08,1.97,0.0197
MCH100160,Subscription / SaaS,2024-08-10,13.75,3.18,0.0272
MCH100161,Professional Services,2024-12-17,27.24,0.44,0.0322
MCH100162,Professional Services,2025-01-28,62.62,1.75,0.0469
MCH100163,Food & Beverage,2025-11-05,7.61,7.85,0.1272
MCH100164,E-commerce Retail,2026-05-11,19.13,4.7,0.0489
MCH100165,Digital Goods,2024-08-08,53.35,3.57,0.053
MCH100166,Subscription / SaaS,2025-07-04,110.5,4.58,0.1049
MCH100167,E-commerce Retail,2024-11-28,325.64,1.39,0.0189
MCH100168,E-commerce Retail,2024-10-19,259.47,1.21,0.0351
MCH100169,Travel & Hospitality,2025-10-23,42.26,8.78,0.1746
MCH100170,Professional Services,2025-09-09,22.55,5.63,0.0214
MCH100171,E-commerce Retail,2024-08-16,92.12,1.17,0.0742
MCH100172,Food & Beverage,2026-01-26,21.25,0.38,0.0421
MCH100173,E-commerce Retail,2025-07-01,17.08,1.19,0.0602
MCH100174,Professional Services,2024-09-07,26.97,4.24,0.0974
MCH100175,E-commerce Retail,2025-04-25,23.79,1.27,0.0249
MCH100176,Professional Services,2025-04-22,55.29,3.42,0.0195
MCH100177,Food & Beverage,2025-01-19,20.04,10.17,0.0104
MCH100178,Marketplace,2024-08-30,39.85,2.24,0.0297
MCH100179,E-commerce Retail,2025-05-10,180.36,3.11,0.038
MCH100180,Subscription / SaaS,2024-12-08,41.35,4.88,0.1285
MCH100181,E-commerce Retail,2025-05-27,166.79,0.83,0.0372
MCH100182,Marketplace,2025-12-10,121.76,1.14,0.0266
MCH100183,Marketplace,2025-06-03,66.16,5.08,0.0394
MCH100184,Subscription / SaaS,2026-02-26,25.68,2.55,0.0248
MCH100185,Professional Services,2025-04-30,103.6,2.78,0.0064
MCH100186,Digital Goods,2025-11-15,28.5,2.54,0.0393
MCH100187,Travel & Hospitality,2026-04-11,36.52,6.54,0.1281
MCH100188,Food & Beverage,2025-06-03,50.92,3.8,0.0384
MCH100189,Subscription / SaaS,2026-01-01,36.4,3.85,0.196
MCH100190,E-commerce Retail,2026-03-31,17.81,8.35,0.0282
MCH100191,Marketplace,2025-04-01,7.95,12.26,0.0684
MCH100192,Marketplace,2024-12-11,95.5,23.19,0.0175
MCH100193,Professional Services,2025-09-16,64.74,1.38,0.0747
MCH100194,Subscription / SaaS,2025-05-15,6.55,29.06,0.0513
MCH100195,Subscription / SaaS,2026-02-09,17.34,0.82,0.0326
MCH100196,Professional Services,2025-11-16,43.78,17.03,0.0187
MCH100197,Marketplace,2026-05-17,56.97,1.3,0.0758
MCH100198,Marketplace,2025-07-22,8.02,2.3,0.0845
MCH100199,Digital Goods,2026-02-23,33.47,2.51,0.1815
MCH100200,Professional Services,2026-05-22,62.78,1.03,0.005
MCH100201,E-commerce Retail,2025-11-06,25.75,2.68,0.1616
MCH100202,E-commerce Retail,2025-11-02,47.27,1.09,0.0201
MCH100203,Marketplace,2024-09-11,22.48,0.72,0.0692
MCH100204,Travel & Hospitality,2025-11-21,90.85,2.37,0.1664
MCH100205,E-commerce Retail,2025-07-25,16.46,12.06,0.037
MCH100206,E-commerce Retail,2026-03-11,11.68,1.91,0.1023
MCH100207,Professional Services,2025-04-21,37.67,6.3,0.0516
MCH100208,E-commerce Retail,2025-07-04,8.73,1.06,0.0583
MCH100209,E-commerce Retail,2026-05-25,5.0,0.68,0.0472
MCH100210,Travel & Hospitality,2025-12-31,108.17,3.87,0.0234
MCH100211,Professional Services,2026-04-10,13.68,14.23,0.0133
MCH100212,Professional Services,2026-01-19,9.64,3.03,0.0591
MCH100213,E-commerce Retail,2025-01-03,16.25,5.62,0.0162
MCH100214,Professional Services,2025-09-18,15.54,10.97,0.0066
MCH100215,E-commerce Retail,2026-01-21,31.75,2.37,0.0698
MCH100216,Subscription / SaaS,2025-06-28,12.26,2.11,0.0258
MCH100217,Digital Goods,2024-10-31,60.23,3.94,0.105
MCH100218,Professional Services,2025-01-04,69.84,4.71,0.0154
MCH100219,Marketplace,2026-05-11,10.23,0.61,0.0414
MCH100220,Professional Services,2025-08-24,19.73,3.31,0.0475
MCH100221,Travel & Hospitality,2026-03-18,21.69,2.46,0.0126
MCH100222,E-commerce Retail,2025-03-09,31.03,1.12,0.0432
MCH100223,Subscription / SaaS,2026-03-11,108.06,2.29,0.3193
MCH100224,Subscription / SaaS,2025-12-31,114.47,0.77,0.2232
MCH100225,Subscription / SaaS,2025-05-31,445.35,0.54,0.0327
MCH100226,Utilities & Billing,2024-09-30,5.0,2.63,0.0341
MCH100227,Food & Beverage,2025-12-12,14.52,6.06,0.0192
MCH100228,Marketplace,2024-09-01,224.53,1.74,0.0485
MCH100229,Professional Services,2026-04-23,6.05,0.94,0.0219
MCH100230,Digital Goods,2025-11-24,219.48,1.1,0.0824
MCH100231,Food & Beverage,2024-11-16,42.41,4.26,0.0619
MCH100232,Travel & Hospitality,2026-05-29,44.0,13.03,0.0481
MCH100233,Food & Beverage,2025-01-01,10.18,5.31,0.0529
MCH100234,E-commerce Retail,2025-01-21,23.31,9.03,0.0183
MCH100235,Professional Services,2025-01-30,210.06,0.86,0.0879
MCH100236,Subscription / SaaS,2025-03-13,34.89,2.28,0.1428
MCH100237,E-commerce Retail,2024-11-12,23.46,6.81,0.0207
MCH100238,Professional Services,2026-01-24,54.91,0.61,0.0077
MCH100239,E-commerce Retail,2024-09-26,30.2,1.27,0.0191
MCH100240,Utilities & Billing,2025-01-23,51.68,6.31,0.0629
MCH100241,Utilities & Billing,2024-11-06,15.65,3.18,0.026
MCH100242,Marketplace,2024-07-03,33.88,0.94,0.0288
MCH100243,Subscription / SaaS,2024-10-29,19.28,0.48,0.06
MCH100244,E-commerce Retail,2025-07-20,6.03,9.37,0.0821
MCH100245,Marketplace,2026-03-06,59.26,0.32,0.0777
MCH100246,Food & Beverage,2024-08-07,10.66,4.63,0.0556
MCH100247,Utilities & Billing,2025-06-06,31.04,1.44,0.1176
MCH100248,Utilities & Billing,2026-04-06,92.39,7.01,0.1428
MCH100249,Marketplace,2024-07-21,8.18,0.87,0.201
MCH100250,Subscription / SaaS,2025-02-27,67.0,33.61,0.0505
MCH100251,Food & Beverage,2025-09-28,27.12,3.68,0.0095
MCH100252,Marketplace,2026-03-13,13.92,4.34,0.0097
MCH100253,Subscription / SaaS,2025-04-29,276.7,1.14,0.1568
MCH100254,E-commerce Retail,2026-02-16,36.58,2.15,0.0087
MCH100255,Travel & Hospitality,2026-02-15,20.74,2.21,0.2614
MCH100256,Marketplace,2024-09-07,16.77,14.82,0.0569
MCH100257,Professional Services,2024-11-06,88.34,3.67,0.0462
MCH100258,Travel & Hospitality,2025-01-12,19.84,4.24,0.0507
MCH100259,E-commerce Retail,2024-11-17,77.99,4.19,0.1241
MCH100260,Travel & Hospitality,2025-09-17,36.51,4.61,0.0175
MCH100261,Utilities & Billing,2025-04-09,111.74,0.61,0.0258
MCH100262,E-commerce Retail,2025-05-08,12.9,19.09,0.1279
MCH100263,Food & Beverage,2025-12-17,14.83,1.02,0.0394
MCH100264,Marketplace,2026-04-26,27.63,2.37,0.0943
MCH100265,Digital Goods,2025-04-03,30.02,11.38,0.0248
MCH100266,Professional Services,2024-08-30,25.67,17.02,0.0185
MCH100267,Professional Services,2025-05-15,508.49,5.51,0.0527
MCH100268,Subscription / SaaS,2024-08-21,288.08,1.48,0.0762
MCH100269,Subscription / SaaS,2024-11-30,49.36,2.79,0.0774
MCH100270,Digital Goods,2025-05-07,55.53,2.91,0.1047
MCH100271,Digital Goods,2025-12-26,28.89,3.01,0.0805
MCH100272,Marketplace,2026-01-18,12.81,0.72,0.0382
MCH100273,Marketplace,2025-07-24,30.51,8.67,0.0369
MCH100274,Food & Beverage,2025-12-30,79.13,2.81,0.0087
MCH100275,Food & Beverage,2026-03-14,135.05,1.19,0.0216
MCH100276,Digital Goods,2024-12-24,99.06,1.49,0.0722
MCH100277,Professional Services,2025-06-27,8.09,3.22,0.0376
MCH100278,Professional Services,2025-05-10,27.41,0.6,0.051
MCH100279,Digital Goods,2024-10-05,8.42,5.92,0.0674
MCH100280,Marketplace,2025-01-29,117.78,3.11,0.0295
MCH100281,Subscription / SaaS,2024-11-14,24.23,11.77,0.1095
MCH100282,Subscription / SaaS,2024-07-06,34.91,2.66,0.0809
MCH100283,E-commerce Retail,2024-10-17,59.15,0.83,0.0277
MCH100284,Travel & Hospitality,2025-12-29,581.81,0.74,0.0438
MCH100285,E-commerce Retail,2024-08-08,47.86,1.66,0.1452
MCH100286,Food & Beverage,2026-04-23,28.84,1.85,0.0307
MCH100287,Travel & Hospitality,2025-08-29,10.58,1.39,0.0168
MCH100288,Subscription / SaaS,2026-03-22,157.38,2.8,0.0445
MCH100289,Travel & Hospitality,2025-03-18,30.52,1.36,0.1096
MCH100290,E-commerce Retail,2025-08-30,191.93,3.17,0.0588
MCH100291,E-commerce Retail,2024-09-25,110.57,1.46,0.0558
MCH100292,Digital Goods,2025-10-08,23.04,4.63,0.2458
MCH100293,Subscription / SaaS,2024-09-14,9.09,1.8,0.179
MCH100294,E-commerce Retail,2025-10-14,48.07,8.55,0.0829
MCH100295,Food & Beverage,2025-08-18,19.79,4.72,0.0349
MCH100296,Digital Goods,2025-09-30,38.07,2.98,0.08
MCH100297,E-commerce Retail,2025-04-11,104.49,2.0,0.013
MCH100298,Professional Services,2025-02-24,7.0,0.54,0.005
MCH100299,E-commerce Retail,2026-05-08,47.68,10.11,0.0311
MCH100300,E-commerce Retail,2026-02-19,78.23,1.25,0.0912
MCH100301,Food & Beverage,2026-04-14,82.11,2.69,0.0292
MCH100302,Travel & Hospitality,2026-05-03,9.36,3.47,0.0446
MCH100303,Professional Services,2026-01-09,55.66,2.05,0.0739
MCH100304,Professional Services,2025-07-07,121.94,9.53,0.0422
MCH100305,Utilities & Billing,2025-11-07,51.59,0.73,0.0739
MCH100306,Food & Beverage,2026-03-16,32.6,13.93,0.0107
MCH100307,Subscription / SaaS,2024-08-14,114.39,4.81,0.0201
MCH100308,Digital Goods,2025-08-05,18.28,1.92,0.0625
MCH100309,Subscription / SaaS,2025-03-04,7.93,1.94,0.1404
MCH100310,Food & Beverage,2026-03-08,29.95,0.27,0.0478
MCH100311,E-commerce Retail,2026-02-17,62.49,1.05,0.0689
MCH100312,E-commerce Retail,2025-09-23,103.43,1.73,0.1203
MCH100313,Utilities & Billing,2025-10-28,62.21,2.93,0.0499
MCH100314,Digital Goods,2026-04-07,84.42,8.67,0.2294
MCH100315,Professional Services,2026-03-12,104.1,18.87,0.0177
MCH100316,Food & Beverage,2024-07-18,26.07,3.23,0.0247
MCH100317,E-commerce Retail,2026-02-26,31.57,3.02,0.0831
MCH100318,E-commerce Retail,2026-04-23,132.58,1.51,0.1137
MCH100319,Subscription / SaaS,2025-04-15,10.91,0.44,0.1605
MCH100320,Travel & Hospitality,2025-08-18,56.21,1.34,0.0675
MCH100321,Professional Services,2026-03-30,17.87,2.0,0.064
MCH100322,Professional Services,2025-02-20,109.98,6.52,0.0176
MCH100323,Subscription / SaaS,2025-08-20,35.95,4.14,0.1024
MCH100324,Utilities & Billing,2025-11-11,36.88,3.07,0.0121
MCH100325,Professional Services,2026-03-26,206.21,1.38,0.0704
MCH100326,Travel & Hospitality,2026-04-11,12.48,0.34,0.0588
MCH100327,Travel & Hospitality,2024-10-23,45.41,0.36,0.0974
MCH100328,Food & Beverage,2026-05-05,30.57,0.47,0.0089
MCH100329,Subscription / SaaS,2025-02-19,62.33,1.84,0.0572
MCH100330,Subscription / SaaS,2025-12-22,251.98,6.65,0.1103
MCH100331,Digital Goods,2024-07-11,19.98,6.47,0.1333
MCH100332,E-commerce Retail,2025-01-22,11.05,5.44,0.026
MCH100333,E-commerce Retail,2026-05-10,16.29,1.47,0.02
MCH100334,E-commerce Retail,2025-03-04,29.0,7.72,0.018
MCH100335,E-commerce Retail,2026-01-10,39.03,0.97,0.0154
MCH100336,Marketplace,2024-11-04,41.04,5.77,0.0071
MCH100337,Professional Services,2024-11-24,222.0,0.46,0.0329
MCH100338,Food & Beverage,2024-10-26,185.83,0.76,0.0419
MCH100339,E-commerce Retail,2025-07-17,134.69,12.84,0.0416
MCH100340,Food & Beverage,2025-08-16,452.34,2.01,0.013
MCH100341,Food & Beverage,2026-04-25,83.44,1.24,0.0812
MCH100342,E-commerce Retail,2026-02-04,110.87,7.41,0.0546
MCH100343,Food & Beverage,2025-06-28,81.84,8.31,0.0631
MCH100344,Food & Beverage,2025-11-21,69.47,1.59,0.0559
MCH100345,Travel & Hospitality,2024-11-14,54.29,3.25,0.0805
MCH100346,Professional Services,2024-12-22,24.61,2.82,0.0137
MCH100347,E-commerce Retail,2025-04-15,10.52,0.15,0.0461
MCH100348,Subscription / SaaS,2025-10-24,32.12,0.61,0.1284
MCH100349,Professional Services,2024-07-19,64.44,6.31,0.0161
MCH100350,Food & Beverage,2025-01-11,39.34,1.07,0.0569
MCH100351,Marketplace,2025-05-26,12.61,4.18,0.0802
MCH100352,Professional Services,2024-12-22,31.0,3.2,0.0102
MCH100353,E-commerce Retail,2025-09-22,29.43,8.29,0.031
MCH100354,E-commerce Retail,2025-06-19,34.39,0.63,0.0488
MCH100355,Professional Services,2025-11-11,59.79,3.65,0.005
MCH100356,E-commerce Retail,2024-11-18,74.16,2.3,0.08
MCH100357,Travel & Hospitality,2024-10-01,22.2,1.12,0.1702
MCH100358,Utilities & Billing,2025-02-24,97.62,1.11,0.13
MCH100359,Travel & Hospitality,2025-01-21,113.48,3.09,0.1508
MCH100360,Food & Beverage,2026-01-11,50.42,4.62,0.005
MCH100361,Professional Services,2025-09-06,71.15,2.62,0.0338
MCH100362,Food & Beverage,2025-03-02,97.93,2.7,0.0407
MCH100363,Travel & Hospitality,2025-05-13,12.21,1.49,0.0888
MCH100364,Utilities & Billing,2025-04-21,105.08,1.6,0.0196
MCH100365,Food & Beverage,2026-04-01,16.61,1.11,0.0716
MCH100366,Utilities & Billing,2025-04-08,18.31,1.46,0.014
MCH100367,Marketplace,2024-07-17,44.54,4.46,0.0424
MCH100368,E-commerce Retail,2024-09-09,5.0,4.98,0.0074
MCH100369,E-commerce Retail,2025-03-26,43.62,0.69,0.0485
MCH100370,E-commerce Retail,2025-05-21,97.69,1.0,0.0271
MCH100371,E-commerce Retail,2025-05-01,7.06,1.21,0.0322
MCH100372,E-commerce Retail,2025-09-24,108.75,2.31,0.0888
MCH100373,Professional Services,2024-07-07,18.2,0.46,0.087
MCH100374,E-commerce Retail,2025-05-10,45.01,1.02,0.0456
MCH100375,Subscription / SaaS,2024-10-11,21.04,0.62,0.0155
MCH100376,Marketplace,2025-01-09,64.9,3.67,0.0662
MCH100377,E-commerce Retail,2026-01-25,102.0,2.39,0.0446
MCH100378,Digital Goods,2025-12-11,69.9,1.55,0.0254
MCH100379,Subscription / SaaS,2024-12-18,36.45,0.85,0.0506
MCH100380,E-commerce Retail,2025-12-19,22.74,1.57,0.0343
MCH100381,Professional Services,2025-03-08,34.15,1.4,0.0837
MCH100382,Professional Services,2025-07-22,70.53,12.61,0.0269
MCH100383,Marketplace,2025-01-23,72.99,6.67,0.0158
MCH100384,Professional Services,2025-12-23,63.49,1.23,0.0883
MCH100385,Digital Goods,2026-03-21,10.15,2.9,0.0849
MCH100386,Subscription / SaaS,2025-08-20,35.77,6.32,0.1877
MCH100387,E-commerce Retail,2025-07-15,19.43,1.23,0.2986
MCH100388,Digital Goods,2024-11-21,71.16,0.6,0.074
MCH100389,Digital Goods,2024-07-25,17.03,0.41,0.0785
MCH100390,Utilities & Billing,2026-04-29,57.52,8.78,0.0314
MCH100391,Food & Beverage,2024-09-11,27.6,2.03,0.0304
MCH100392,Subscription / SaaS,2026-03-24,5.59,3.29,0.0763
MCH100393,Digital Goods,2024-10-01,92.85,1.39,0.1241
MCH100394,Subscription / SaaS,2025-11-17,35.68,0.69,0.0772
MCH100395,Marketplace,2026-02-18,131.1,0.83,0.0237
MCH100396,Marketplace,2025-06-01,6.92,0.64,0.0152
MCH100397,Food & Beverage,2025-08-29,27.34,5.75,0.0104
MCH100398,Digital Goods,2025-11-11,29.48,10.94,0.0674
MCH100399,Digital Goods,2025-06-29,47.95,2.55,0.0539
MCH100400,E-commerce Retail,2026-03-22,9.73,0.54,0.0632
MCH100401,Marketplace,2025-01-15,63.06,4.04,0.0124
MCH100402,Food & Beverage,2025-08-17,247.56,8.71,0.0471
MCH100403,Digital Goods,2025-06-04,58.82,6.5,0.0931
MCH100404,Subscription / SaaS,2026-04-20,40.16,2.39,0.0727
MCH100405,Marketplace,2025-09-02,9.23,1.95,0.0097
MCH100406,Food & Beverage,2024-11-16,16.87,2.37,0.0602
MCH100407,E-commerce Retail,2026-05-24,34.61,8.37,0.0083
